free_text,subject,grade,book,url,source
Khả năng và ứng dụng thực tế của máy tính,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-kha-nang-va-ung-dung-thuc-te-cua-may-tinh.1409841,hoc24
Một số đặc điểm quan trọng của thông tin trong giải quyết vấn đề,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-mot-so-dac-diem-quan-trong-cua-thong-tin-trong-giai-quyet-van-de.1409929,hoc24
Một số tác động tiêu cực của công nghệ kĩ thuật số,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-mot-so-tac-dong-tieu-cuc-cua-cong-nghe-ki-thuat-so.1410082,hoc24
"Khía cạnh pháp lí, đạo đức, văn hóa của việc trao đổi thông tin qua mạng",Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-khia-canh-phap-li-dao-duc-van-hoa-cua-viec-trao-doi-thong-tin-qua-mang.1410142,hoc24
Phần mềm mô phỏng và ứng dụng,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-phan-mem-mo-phong-va-ung-dung.1410217,hoc24
Thực hành xác định bài toán và tìm thuật toán,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-thuc-hanh-xac-dinh-bai-toan-va-tim-thuat-toan.1411878,hoc24
Nhóm nghề Phân tích và phát triển phần mề và các ứng dụng,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-nhom-nghe-phan-tich-va-phat-trien-phan-me-va-cac-ung-dung.1412100,hoc24
Nhóm nghề Đa phương tiện và nhóm nghề Vận hành hệ thống thông tin,Tin học,9,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-nhom-nghe-da-phuong-tien-va-nhom-nghe-van-hanh-he-thong-thong-tin.1412152,hoc24
Thế giới kĩ thuật số,Tin học,9,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-1-the-gioi-ki-thuat-so.1405321,hoc24
Vai trò của máy tính trong đời sống,Tin học,9,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-1-vai-tro-cua-may-tinh-trong-doi-song.1407459,hoc24
Khai thác thông tin số trong các hoạt động kinh tế xã hội,Tin học,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-khai-thac-thong-tin-so-trong-cac-hoat-dong-kinh-te-xa-hoi.679374,hoc24
Bài học: Sử dụng công nghệ kĩ thuật số có đạo đức và văn hóa,Tin học,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-hoc-su-dung-cong-nghe-ki-thuat-so-co-dao-duc-va-van-hoa.679541,hoc24
Vùng chọn và ứng dụng,Tin học,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-vung-chon-va-ung-dung.680848,hoc24
Tin học và ứng dụng,Tin học,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-tin-hoc-va-ung-dung.681913,hoc24
Đạo đức và văn hóa trong sử dụng công nghệ kĩ thuật số,Tin học,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-4-dao-duc-va-van-hoa-trong-su-dung-cong-nghe-ki-thuat-so.717148,hoc24
Từ thuật toán đến chương trình,Tin học,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-12-tu-thuat-toan-den-chuong-trinh.717989,hoc24
Sử dụng công nghệ kĩ thuật số,Tin học,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-4-su-dung-cong-nghe-ki-thuat-so.685879,hoc24
"Thuật toán, chương trình máy tính",Tin học,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-12-thuat-toan-chuong-trinh-may-tinh.686795,hoc24
Cách mạng tư sản ở châu Âu và Bắc Mỹ,Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-1-cach-mang-tu-san-o-chau-au-va-bac-my.743768,hoc24
Cách mạng công nghiệp,Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-2-cach-mang-cong-nghiep.743836,hoc24
Quá trình khai phá của Đại Việt trong các thế kỉ XVI - XVIII,Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-5-qua-trinh-khai-pha-cua-dai-viet-trong-cac-the-ki-xvi-xviii.744034,hoc24
Chiến tranh thế giới thứ nhất (1914 - 1918) và cách mạng tháng mười Nga năm 1917,Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-11-chien-tranh-the-gioi-thu-nhat-1914-1918-va-cach-mang-thang-muoi-nga-nam-1917.744800,hoc24
"Sự phát triển của khoa học, kĩ thuật, văn học, nghệ thuật trong các thế kỉ XVIII - XIX",Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-12-su-phat-trien-cua-khoa-hoc-ki-thuat-van-hoc-nghe-thuat-trong-cac-the-ki-xviii-xix.744857,hoc24
Đặc điểm chung của sinh vật và vấn để bảo tồn đa dạng sinh học ở Việt Nam,Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-10-dac-diem-chung-cua-sinh-vat-va-van-de-bao-ton-da-dang-sinh-hoc-o-viet-nam.746551,hoc24
Phạm vi Biển Đông. Các vùng biển của Việt Nam ở Biển Đông: Đặc điểm tự nhiên vùng biển đảo Việt Nam,Lịch sử và Địa lý,8,Cánh Diều,https://hoc24.vn/ly-thuyet/bai-11-pham-vi-bien-dong-cac-vung-bien-cua-viet-nam-o-bien-dong-dac-diem-tu-nhien-vung-bien-dao-viet-nam.746607,hoc24
Cách mạng tư sản Anh và chiến tranh giành độc lập của 13 thuộc địa Anh ở Bắc Mỹ,Lịch sử và Địa lý,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-1-cach-mang-tu-san-anh-va-chien-tranh-gianh-doc-lap-cua-13-thuoc-dia-anh-o-bac-my.653348,hoc24
Cách mạng tư sản Pháp cuối thế kỉ XVIII,Lịch sử và Địa lý,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-2-cach-mang-tu-san-phap-cuoi-the-ki-xviii.653411,hoc24
"Sự phát triển của khoa học, kĩ thuật, văn học,nghệ thuật trong các thế kỉ XVIII - XIX",Lịch sử và Địa lý,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-13-su-phat-trien-cua-khoa-hoc-ki-thuat-van-hocnghe-thuat-trong-cac-the-ki-xviii-xix.657093,hoc24
Vai trò của tài nguyên khí hậu và tài nguyên nước đối với sự phát triển kinh tế - xã hội của nước ta,Lịch sử và Địa lý,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-7-vai-tro-cua-tai-nguyen-khi-hau-va-tai-nguyen-nuoc-doi-voi-su-phat-trien-kinh-te-xa-hoi-cua-nuoc-ta.658095,hoc24
Phạm vi biển đông. vùng biển đảo và đặc điểm tự nhiên vùng biển đảo Việt Nam,Lịch sử và Địa lý,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-11-pham-vi-bien-dong-vung-bien-dao-va-dac-diem-tu-nhien-vung-bien-dao-viet-nam.658433,hoc24
Các cuộc cách mạng tư sản ở châu Âu và Bắc Mỹ,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-1-cac-cuoc-cach-mang-tu-san-o-chau-au-va-bac-my.747436,hoc24
Quá trình khai phá vùng đất phía Nam của người Việt từ thế kỉ XVI đến thế kỉ XVIII,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-5-qua-trinh-khai-pha-vung-dat-phia-nam-cua-nguoi-viet-tu-the-ki-xvi-den-the-ki-xviii.747729,hoc24
Cách mạng tháng Mười Nga năm 1917,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-13-cach-mang-thang-muoi-nga-nam-1917.748288,hoc24
Trào lưu cải cách ở Việt Nam nửa cuối thế kỉ XIX,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-22-trao-luu-cai-cach-o-viet-nam-nua-cuoi-the-ki-xix.748930,hoc24
Đặc điểm vị trí địa lí và phạm vi lãnh thổ,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-1-dac-diem-vi-tri-dia-li-va-pham-vi-lanh-tho.749456,hoc24
Đặc điểm địa hình,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-2-dac-diem-dia-hinh.749548,hoc24
"Đặc điểm chung của tài nguyên khoáng sản, sử dụng hợp lí tài nguyên khoáng sản",Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-4-dac-diem-chung-cua-tai-nguyen-khoang-san-su-dung-hop-li-tai-nguyen-khoang-san.749734,hoc24
Thực hành: Phân tích đặc điểm phân bố các loại khoáng sản chủ yếu,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-5-thuc-hanh-phan-tich-dac-diem-phan-bo-cac-loai-khoang-san-chu-yeu.749792,hoc24
Đặc điểm khí hậu,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-6-dac-diem-khi-hau.749852,hoc24
Đặc điểm thủy sản,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-8-dac-diem-thuy-san.749993,hoc24
Vai trò của tài nguyên khí hậu và tài nguyên nước,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-10-vai-tro-cua-tai-nguyen-khi-hau-va-tai-nguyen-nuoc.750176,hoc24
Đặc điểm chung và sự phân bố của lớp phủ thổ nhưỡng,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-11-dac-diem-chung-va-su-phan-bo-cua-lop-phu-tho-nhuong.750233,hoc24
Đặc điểm của sinh vật và vấn đề bảo tồn đa dạng sinh học,Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-13-dac-diem-cua-sinh-vat-va-van-de-bao-ton-da-dang-sinh-hoc.750380,hoc24
"Đặc điểm tự nhiên, môi trường và tài nguyên vùng biển đảo Việt Nam",Lịch sử và Địa lý,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/bai-15-dac-diem-tu-nhien-moi-truong-va-tai-nguyen-vung-bien-dao-viet-nam.750525,hoc24
Tính cách và cảm xúc của tôi,Hoạt động trải nghiệm – hướng nghiệp,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-1-tinh-cach-va-cam-xuc-cua-toi.737423,hoc24
Tham gia các hoạt động giáo dục truyền thống và phát triển cộng đồng ở địa phương,Hoạt động trải nghiệm – hướng nghiệp,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-1-tham-gia-cac-hoat-dong-giao-duc-truyen-thong-va-phat-trien-cong-dong-o-dia-phuong.738069,hoc24
Lập và thực hiện kế hoạch hoạt động thiện nguyện,Hoạt động trải nghiệm – hướng nghiệp,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-2-lap-va-thuc-hien-ke-hoach-hoat-dong-thien-nguyen.738134,hoc24
1: Khám phá một số đặc điểm của bản thân,Hoạt động trải nghiệm – hướng nghiệp,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/chu-de-1-kham-pha-mot-so-dac-diem-cua-ban-than.738737,hoc24
6: Tham gia hoạt động phát triển cộng đồng,Hoạt động trải nghiệm – hướng nghiệp,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/chu-de-6-tham-gia-hoat-dong-phat-trien-cong-dong.739129,hoc24
1: Rèn luyện một số nét tính cách cá nhân,Hoạt động trải nghiệm – hướng nghiệp,8,Chân Trời Sáng Tạo,https://hoc24.vn/ly-thuyet/chu-de-1-ren-luyen-mot-so-net-tinh-cach-ca-nhan.739389,hoc24
Đòn bẩy và ứng dụng,Vật lý,8,Kết Nối Tri Thức Với Cuộc Sống,https://hoc24.vn/ly-thuyet/bai-19-don-bay-va-ung-dung.1709674,hoc24
Ứng dụng của nam châm,Vật lý,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-26-ung-dung-cua-nam-cham.2035,hoc24
Vai trò của điện năng - Nhiệt điện và thủy điện,Vật lý,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-61-vai-tro-cua-dien-nang-nhiet-dien-va-thuy-dien.4229,hoc24
Sự oxi hóa. Phản ứng hóa hợp. Ứng dụng của oxi,Hóa học,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-25-su-oxi-hoa-phan-ung-hoa-hop-ung-dung-cua-oxi.434,hoc24
Tính chất - Ứng dụng của Hiđro,Hóa học,8,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-31-tinh-chat-ung-dung-cua-hidro.440,hoc24
Tính chất hóa học của oxit. Khái quát về sự phân loại oxit,Hóa học,9,Chương trình cũ,https://hoc24.vn/ly-thuyet/bai-1-tinh-chat-hoa-hoc-cua-oxit-khai-quat-ve-su-phan-loai-oxit.477,hoc24
