free_text,label_id,category,source
"Đặt 3 câu kể theo kiểu câu ai làm gì, ai thế nào và ai là gì?",0,Ngữ văn,vndoc
Viết đoạn văn (4-5 câu) kể về một người phụ nữ tài năng mà em biết,0,Ngữ văn,vndoc
Tìm từ trái nghĩa với từ phong phú?,0,Ngữ văn,vndoc
"Hãy tìm một số câu ca dao, tục ngữ có sử dụng từ ai hoặc có lời nhắn Ai ơi…",0,Ngữ văn,vndoc
Đặt 1 câu có hình ảnh so sánh hoạt động với hoạt động,0,Ngữ văn,vndoc
Cho 5 ví dụ về 5 phương châm hội thoại,0,Ngữ văn,vndoc
Giải giúp em: các bước làm bài văn nghị luận xã hội,0,Ngữ văn,vndoc
Em hãy viết đoạn văn kể về những việc làm hoặc những lời dạy bảo giản dị mà sâu sắc của người bà kính yêu đã làm cho em cảm động (trong đoạn văn có sử dụng yếu tố nghị luận),0,Ngữ văn,vndoc
Phần 1 : Đọc - hiểu văn bản,0,Ngữ văn,vndoc
Em hãy thử làm một số câu thơ về mặt trời,0,Ngữ văn,vndoc
"Đọc thông tin, tư liệu và quan sát các hình từ 4.4 đến 4.6 các sơ đồ 4.1, 4.2 hãy: Phân tích tác động của du lịch đối với công tác bảo tồn di tích lịch sử và văn hóa. Lấy ví dụ cụ thể và phân tích",0,Lịch sử,vndoc
Nhận xét ý nghĩa và tác động của phong trào văn hóa Phục Hưng đối với Tây Âu,0,Lịch sử,vndoc
Quá trình thành lập Cộng hòa Nam Phi,0,Lịch sử,vndoc
"Viết 1 đoạn văn từ 3 đến 5 câu, giới thiệu về 1 số thành tựu văn hóa tiêu biểu của Đông Nam Á",0,Lịch sử,vndoc
"Đọc thông tin, tư liệu và quan sát các hình từ 4.4 đến 4.6 các sơ đồ 4.1, 4.2 hãy: Giải thích vai trò của lịch sử và văn hóa đối với sự phát triển du lịch",0,Lịch sử,vndoc
Nêu truyền thống yêu nước chống giặc ngoại xâm của quê hương Việt Nam,0,Lịch sử,vndoc
Tại sao chạy đua vũ trang là một trong những nguyên nhân quan trọng làm sụp đổ Trật tự thế giới hai cực lan-ta?,0,Lịch sử,vndoc
"Sưu tầm tư liệu và vận dụng những kiến thức đã học, em hãy cho biết sự sụp đổ của Trật tự thế giới hai cực l-an-ta đã tác động như thế nào đến Việt Nam",0,Lịch sử,vndoc
Trình bày vai trò của Liên hiệp quốc trong lĩnh vực thúc đẩy phát triển,0,Lịch sử,vndoc
"Trình bày vai trò của Liên hợp quốc trong việc đảm bảo quyền con người, phát triển văn hoá, xã hội",0,Lịch sử,vndoc
